id,version,username,password,active
60885987-1b61-4247-94c7-dff348347f93,1,admin,{noop}admin,true
07076702-164a-4422-becb-37fab7416570,1,perevalov.sl,{noop}perevalov,true
a13cdcd8-db29-4d9c-a79c-62d16e5f5ede,1,oprinshuk.ip,{noop}oprinshuk,true
367cd548-3b32-41cb-8550-b2252b8958a3,1,ryibakov.ep,{noop}ryibakov,true
bfe718fb-cc35-4444-b73f-4f2e4e139888,1,nikashin.es,{noop}nikashin,true
0cdb1045-4a8d-423a-9159-3d2496738a27,1,bobrov.vi,{noop}bobrov,true
c4f8b197-57ef-4930-baaa-b55726c4bd12,1,zyganov.vb,{noop}zyganov,true
23405b47-9c49-4bc0-9277-b89de751fce5,1,russkicha.ik,{noop}russkicha,true
56d3192e-ac50-4277-be4d-a10a30eb015e,1,chykchov.dy,{noop}chykchov,true
0ad0610c-c809-400f-95e3-1b4196a93a87,1,darbyniana.ag,{noop}darbyniana,true
27f5cb8d-9d4a-4ca4-a798-7729f144f39d,1,chedlyich.yf,{noop}chedlyich,true
bff8f77e-00a3-4b7e-8254-ccbbaba0b918,1,romazan.ai,{noop}romazan,true
43ae22ed-7389-4299-8f07-425fe0ab1ce1,1,kyksyika.gv,{noop}kyksyika,true
dd6cb59a-4f74-4f5b-b60f-caa74c0bb681,1,xoxorina.lm,{noop}xoxorina,true
e2ee1f57-cee5-4b19-a832-0c0ae99fdbc3,1,somkin.gv,{noop}somkin,true
7106c287-785e-407a-915b-23659c2df504,1,mandrika.op,{noop}mandrika,true
